bottle_name,sales_status,price_usd,sales_date
Weller 12 Year Old 70cl,Winning Bid:,142,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,132,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,133,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,131,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,118,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,133,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,115,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,115,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,214,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,132,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,121,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,119,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,127,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,128,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-07-04 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,175,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,165,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,165,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,169,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,155,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,157,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,153,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,155,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,169,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,169,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,163,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,153,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,153,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-06-06 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-06-06 00:00:00
